Platform,Profiler,Benchmark Suite,Suite,Workload,benchmark_name,execution_time (microseconds),exp_name,peak_memory_kb (KB),read_freq (accesses/us),read_size,total_reads (count),total_reads_d,total_reads_i,total_writes (count),total_writes_d,total_writes_i,workingset_size (count),write_freq (accesses/us),write_size
CPU,DynamoRIO,spec2017,fprate,baseline/imagick/O1,,643012524.0,DynamoRIOProfilers,170836.0,2.962935342453765,2,1905204533.0,1,1,175352734.0,1,1,747634.0,0.27270500566486633,8
CPU,DynamoRIO,spec2017,fprate,baseline/imagick/O2,,670151602.0,DynamoRIOProfilers,172184.0,2.9246634301114454,2,1959967883.0,1,1,170631563.0,1,1,747407.0,0.25461636216457184,8
CPU,DynamoRIO,spec2017,fprate,baseline/imagick/Ofast,,745982599.0,DynamoRIOProfilers,165388.0,3.1694913516340613,2,2364385396.0,1,1,176252681.0,1,1,747778.0,0.23626915860540065,8
CPU,DynamoRIO,spec2017,fprate,baseline/lbm/O1,,1727811955.0,DynamoRIOProfilers,1374952.0,1.4677914709763655,8,2536067651.0,1,1,1239892133.0,1,1,6702444.0,0.7176082613689289,8
CPU,DynamoRIO,spec2017,fprate,baseline/lbm/O2,,2059884733.0,DynamoRIOProfilers,1364204.0,1.3953162213179042,8,2874190582.0,1,1,1637987945.0,1,1,6702447.0,0.7951842735464364,8
CPU,DynamoRIO,spec2017,fprate,baseline/lbm/Ofast,,2062876020.0,DynamoRIOProfilers,1659984.0,1.4031919218296018,8,2894610967.0,1,1,1614410384.0,1,1,6702439.0,0.7826017503465865,8
CPU,DynamoRIO,spec2017,fprate,baseline/nab/O1,,1274992165.0,DynamoRIOProfilers,307444.0,2.009380188622571,8,2561943997.0,1,1,1191667542.0,1,1,1602040.0,0.9346469529089224,8
CPU,DynamoRIO,spec2017,fprate,baseline/nab/O2,,1226529330.0,DynamoRIOProfilers,342988.0,1.9669116807830433,8,2412474866.0,1,1,1053562246.0,1,1,1786479.0,0.8589784363330308,8
CPU,DynamoRIO,spec2017,fprate,baseline/nab/Ofast,,1287881145.0,DynamoRIOProfilers,361880.0,1.9284443169637366,8,2483607075.0,1,1,1061731669.0,1,1,1885549.0,0.824401904727008,8
CPU,DynamoRIO,spec2017,fprate,baseline/namd/O1,,1249775701.0,DynamoRIOProfilers,409472.0,2.167716206861986,8,2709159042.0,1,1,941551500.0,1,1,2123045.0,0.7533763852558693,8
CPU,DynamoRIO,spec2017,fprate,baseline/namd/O2,,1242061269.0,DynamoRIOProfilers,410868.0,2.0898343115471545,8,2595702257.0,1,1,902277392.0,1,1,2123793.0,0.7264354943830069,8
CPU,DynamoRIO,spec2017,fprate,baseline/namd/Ofast,,1162128062.0,DynamoRIOProfilers,413776.0,2.2222573823365774,8,2582547665.0,1,1,864362522.0,1,1,2151388.0,0.7437756218642967,8
CPU,DynamoRIO,spec2017,fprate,baseline/povray/O1,,1534918588.0,DynamoRIOProfilers,32256.0,2.2692413872832713,8,3483100786.0,1,1,1585824486.0,1,1,67169.0,1.033165210453494,8
CPU,DynamoRIO,spec2017,fprate,baseline/povray/O2,,1529412476.0,DynamoRIOProfilers,33792.0,2.3062106530115685,8,3527147345.0,1,1,1686617454.0,1,1,68845.0,1.102787822426525,8
CPU,DynamoRIO,spec2017,fprate,baseline/povray/Ofast,,1496642056.0,DynamoRIOProfilers,33792.0,2.4136068243695004,8,3612305480.0,1,1,1565098277.0,1,1,67564.0,1.045739875293201,8
CPU,DynamoRIO,spec2017,fprate,baseline/roms/O1,,2289803452.0,DynamoRIOProfilers,2781988.0,1.9739698850799008,8,4520003057.0,1,1,834267351.0,1,1,14123911.0,0.3643401577857347,8
CPU,DynamoRIO,spec2017,fprate,baseline/roms/O2,,2219923655.0,DynamoRIOProfilers,2610248.0,1.8684796374224861,8,4147882146.0,1,1,979785096.0,1,1,13491716.0,0.44135981604286295,8
CPU,DynamoRIO,spec2017,fprate,baseline/roms/Ofast,,2115680184.0,DynamoRIOProfilers,2735088.0,1.7790069295274924,8,3763809708.0,1,1,918472597.0,1,1,13722274.0,0.4341263882632272,8
CPU,DynamoRIO,spec2017,fprate,baseline/wrf/O1,,1640988476.0,DynamoRIOProfilers,687164.0,1.9483658896822138,4,3197245972.0,1,1,916768988.0,1,1,2788431.0,0.5586687544782003,4
CPU,DynamoRIO,spec2017,fprate,baseline/wrf/O2,,1592952691.0,DynamoRIOProfilers,699232.0,1.9318914732289434,4,3077411721.0,1,1,865175947.0,1,1,2865414.0,0.5431272076616869,4
CPU,DynamoRIO,spec2017,fprate,l4_host/cactuBSSN/test,,,DynamoRIOProfilers,,,32,7615817936.0,1,1,2242575881.0,1,1,1694982.0,,32
CPU,DynamoRIO,spec2017,fprate,wss_variants/blender/exact,,811914232.0,DynamoRIOProfilers,825928.0,2.9154403023200115,8,2367087474.0,1,1,1082087555.0,1,1,4332013.0,1.3327609153179618,8
CPU,DynamoRIO,spec2017,fprate,wss_variants/blender/hll,,255989166.0,DynamoRIOProfilers,284956.0,9.246853798492394,8,2367094392.0,1,1,1082091521.0,1,1,4304278.0,4.2270988960524996,8
CPU,DynamoRIO,spec2017,fprate,wss_variants/bwaves/exact,,1344614484.0,DynamoRIOProfilers,2652168.0,3.2111951197753124,8,4317819469.0,1,1,821678968.0,1,1,14405841.0,0.6110888866492382,8
CPU,DynamoRIO,spec2017,fprate,wss_variants/bwaves/exact,,1315161008.0,DynamoRIOProfilers,2615460.0,3.286604127332826,8,4322413597.0,1,1,816525081.0,1,1,14206819.0,0.6208556032555369,8
CPU,DynamoRIO,spec2017,fprate,wss_variants/bwaves/exact,,1330839297.0,DynamoRIOProfilers,2652148.0,3.24441738813488,8,4317798156.0,1,1,821674896.0,1,1,14405533.0,0.6174110562050829,8
CPU,DynamoRIO,spec2017,fprate,wss_variants/bwaves/exact,,1362497838.0,DynamoRIOProfilers,2436888.0,3.1826706949974626,8,4336381941.0,1,1,808949151.0,1,1,13247410.0,0.5937250896393717,8
CPU,DynamoRIO,spec2017,fprate,wss_variants/bwaves/hll,,268792365.0,DynamoRIOProfilers,851688.0,16.063772752622643,8,4317819469.0,1,1,821678968.0,1,1,15581053.0,3.0569282278534957,8
CPU,DynamoRIO,spec2017,fprate,wss_variants/bwaves/hll,,268182039.0,DynamoRIOProfilers,839944.0,16.117461158537914,8,4322413597.0,1,1,816525081.0,1,1,13291523.0,3.044667286611241,8
CPU,DynamoRIO,spec2017,fprate,wss_variants/bwaves/hll,,252535572.0,DynamoRIOProfilers,851696.0,17.097781666180477,8,4317798073.0,1,1,821674890.0,1,1,14192122.0,3.2536996015753377,8
CPU,DynamoRIO,spec2017,fprate,wss_variants/bwaves/hll,,273059432.0,DynamoRIOProfilers,781360.0,15.880725705896875,8,4336381941.0,1,1,808949151.0,1,1,14865724.0,2.962538759693897,8
CPU,DynamoRIO,spec2017,fprate,wss_variants/cactuBSSN/exact,,1175650192.0,DynamoRIOProfilers,1876512.0,3.3340058919498734,8,3919624667.0,1,1,1119530473.0,1,1,9751847.0,0.9522649514439921,8
CPU,DynamoRIO,spec2017,fprate,wss_variants/cactuBSSN/hll,,286482901.0,DynamoRIOProfilers,636172.0,13.681877847920843,8,3919624057.0,1,1,1119530485.0,1,1,9876431.0,3.9078439972932277,8
CPU,DynamoRIO,spec2017,fprate,wss_variants/cam4/exact,,655701234.0,DynamoRIOProfilers,2013884.0,3.078215205860052,4,2018389509.0,1,1,468002090.0,1,1,10520994.0,0.713742884308801,1
CPU,DynamoRIO,spec2017,fprate,wss_variants/cam4/hll,,212650631.0,DynamoRIOProfilers,703564.0,9.49157571039608,4,2018389564.0,1,1,468002094.0,1,1,10780306.0,2.200802752379324,1
CPU,DynamoRIO,spec2017,fprate,wss_variants/fotonik3d/exact,,757688685.0,DynamoRIOProfilers,141872.0,2.9643582825840933,8,2246060729.0,1,1,1495599133.0,1,1,381613.0,1.9738966182397193,8
CPU,DynamoRIO,spec2017,fprate,wss_variants/fotonik3d/hll,,288530580.0,DynamoRIOProfilers,86776.0,7.7844807125816615,8,2246060735.0,1,1,1495599136.0,1,1,376685.0,5.183503031117187,8
CPU,DynamoRIO,spec2017,fprate,wss_variants/imagick/exact,,412860370.0,DynamoRIOProfilers,152244.0,4.744202740989647,2,1958693299.0,1,1,167264294.0,1,1,747236.0,0.40513526158977187,8
CPU,DynamoRIO,spec2017,fprate,wss_variants/imagick/hll,,158565473.0,DynamoRIOProfilers,57628.0,12.352622774316071,2,1958699473.0,1,1,167264354.0,1,1,699322.0,1.054859868516269,8
CPU,DynamoRIO,spec2017,fprate,wss_variants/lbm/exact,,1065746433.0,DynamoRIOProfilers,1265524.0,2.716041249935856,8,2894611274.0,1,1,1614410689.0,1,1,6702410.0,1.5148168823380899,8
CPU,DynamoRIO,spec2017,fprate,wss_variants/lbm/hll,,207136697.0,DynamoRIOProfilers,427168.0,13.974401040101553,8,2894611274.0,1,1,1614410689.0,1,1,6794826.0,7.793938555465138,8
CPU,DynamoRIO,spec2017,fprate,wss_variants/nab/exact,,785385652.0,DynamoRIOProfilers,355016.0,3.1548982600970663,8,2477811827.0,1,1,1059222242.0,1,1,1854229.0,1.34866512942103,8
CPU,DynamoRIO,spec2017,fprate,wss_variants/nab/hll,,247951937.0,DynamoRIOProfilers,123592.0,9.991921680369853,8,2477516335.0,1,1,1059119570.0,1,1,1887473.0,4.271471248881593,8
CPU,DynamoRIO,spec2017,fprate,wss_variants/namd/exact,,722606190.0,DynamoRIOProfilers,422712.0,3.5739347001718875,8,2582547337.0,1,1,864364443.0,1,1,2151034.0,1.1961763612902347,8
CPU,DynamoRIO,spec2017,fprate,wss_variants/namd/hll,,204203169.0,DynamoRIOProfilers,143056.0,12.646950336995015,8,2582547337.0,1,1,864364443.0,1,1,2141634.0,4.23286498066051,8
CPU,DynamoRIO,spec2017,fprate,wss_variants/povray/exact,,948308641.0,DynamoRIOProfilers,29184.0,3.7453095041448643,8,3551709366.0,1,1,1551819602.0,1,1,65377.0,1.6364077420654866,8
CPU,DynamoRIO,spec2017,fprate,wss_variants/povray/hll,,330362188.0,DynamoRIOProfilers,21504.0,10.750970132211378,8,3551714016.0,1,1,1551819035.0,1,1,65009.0,4.6973264234464995,8
CPU,DynamoRIO,spec2017,fprate,wss_variants/roms/exact,,1113740349.0,DynamoRIOProfilers,2603196.0,3.3385214725663137,8,3718246070.0,1,1,920670440.0,1,1,13738098.0,0.8266472888646329,8
CPU,DynamoRIO,spec2017,fprate,wss_variants/roms/hll,,258365908.0,DynamoRIOProfilers,884596.0,14.39150877444713,8,3718275232.0,1,1,920674171.0,1,1,13982685.0,3.5634506817362297,8
CPU,DynamoRIO,spec2017,fprate,wss_variants/wrf/exact,,879221470.0,DynamoRIOProfilers,638016.0,3.4798965885125623,4,3059599794.0,1,1,868085744.0,1,1,2873335.0,0.987334560881458,4
CPU,DynamoRIO,spec2017,fprate,wss_variants/wrf/hll,,232015382.0,DynamoRIOProfilers,280060.0,13.187050003434686,4,3059598444.0,1,1,868085304.0,1,1,2842050.0,3.741498932169937,4
CPU,DynamoRIO,spec2017,fpspeed,alberta_both/cactuBSSN/both,,1668711080.0,DynamoRIOProfilers,2674560.0,1.9924718855465382,8,3324859912.0,1,1,956010497.0,1,1,14010115.0,0.5729035472096224,8
CPU,DynamoRIO,spec2017,fpspeed,alberta_both/cam4/both,,1114649863.0,DynamoRIOProfilers,2114472.0,1.9040044595600512,4,2122298310.0,1,1,448205773.0,1,1,10480650.0,0.40210454231222564,1
CPU,DynamoRIO,spec2017,fpspeed,alberta_both/fotonik3d/both,,1424916485.0,DynamoRIOProfilers,691844.0,1.6747318520916683,8,2386353024.0,1,1,1575167121.0,1,1,420682.0,1.1054452226370306,8
CPU,DynamoRIO,spec2017,fpspeed,alberta_both/lbm/both,,2886109997.0,DynamoRIOProfilers,10035176.0,0.9909314482028732,8,2859937159.0,1,1,2083525344.0,1,1,52802447.0,0.7219147385809079,8
CPU,DynamoRIO,spec2017,fpspeed,alberta_both/nab/both,,1383831387.0,DynamoRIOProfilers,327204.0,1.7950040722699694,8,2483982975.0,1,1,1193200716.0,1,1,1633991.0,0.862244293061406,8
