source,workload_id,workload,compiler_tag,iteration,opt_level_numeric,has_fastmath,has_vectorize,has_unroll,has_debug_friendly,has_lto,input_class,input_command,input_args,input_files,input_total_bytes,l1_size,l2_size,l3_size,l3_associativity,l3_replacement,branch_predictor,prefetcher_type,dram_type,core_frequency_ghz,simulator_rev,core_model,n_pb_files,pb_total_bytes,n_events,total_reads,total_writes,total_hits,total_misses,n_threads,cell_start_us,cell_end_us,execution_time_us,execution_time_s,read_freq,write_freq,hit_rate,wss_lines_total,wss_bytes_total,coarse_bin_us,n_coarse_bins,n_unique_regions_total,elapsed_parse_s
cpu2026,782.lbm_r,lbm,maap,1,3,0,1,1,0,0,refrate,,,200_200_130_ldc.of|lbm.in,5226171,48,512,16384,16,lru,pentium_m,,constant,2.2,090ac23cf7ee,sunnycove,1,68404383944,2242345899,1425192385,817153514,0,2242345899,0,13423406603290479,13423409415227951,2811937472,2811.937472,506836.4425565719,290601.59485651605,0.0,26567859,1700342976,2811937,1001,1649,372.0
cpu2026,999.specrand_r,specrand,maap,1,3,0,1,1,0,0,refrate,,,control,18,48,512,16384,16,lru,pentium_m,,constant,2.2,090ac23cf7ee,sunnycove,1,4985739231,163671257,97559873,66111384,0,163671257,0,13423409782619632,13423409974401557,191781925,191.781925,508702.1261258067,344721.6623777241,0.0,23839,1525696,191781,1001,19,15.0
cpu2026,709.cactus_r,cactus,maapFAST,1,3,1,1,1,0,0,refrate,,,ShiftedGaugeWave.par|control,4046,48,512,16384,16,lru,pentium_m,,constant,2.2,090ac23cf7ee,sunnycove,1,40816468122,1356646564,1057396507,299250057,0,1356646564,0,13423376488611187,13423378127976397,1639365210,1639.36521,645003.6273491494,182540.20225304159,0.0,6259965,400637760,1639365,1001,603,219.0
cpu2026,722.palm_r,palm,maapFAST,1,3,1,1,1,0,0,refrate,,,DEBUG|ENVPAR|PARIN|runfile_atmos,3227,48,512,16384,16,lru,pentium_m,,constant,2.2,090ac23cf7ee,sunnycove,1,47397062314,1584688429,1502975402,81713027,0,1584688429,0,13423378491170682,13423380460452036,1969281354,1969.281354,763210.0913092787,41493.83064742104,0.0,1850376,118424064,1969281,1001,139,257.0
cpu2026,731.astcenc_r,astcenc,maapFAST,1,3,1,1,1,0,0,refrate,,,control|gen_astcenc_inputs.sh|ref-inputs-hdr.txt|ref-inputs-linear.txt|ref-inputs-precision.txt,3360,48,512,16384,16,lru,pentium_m,,constant,2.2,090ac23cf7ee,sunnycove,1,50500321250,1667055080,1164262061,502793019,0,1667055080,0,13423380825419325,13423382793574231,1968154906,1968.154906,591550.01339107,255464.14942605133,0.0,609259,38992576,1968154,1001,71,276.0
cpu2026,736.ocio_r,ocio,maapFAST,1,3,1,1,1,0,0,refrate,,,control,721,48,512,16384,16,lru,pentium_m,,constant,2.2,090ac23cf7ee,sunnycove,1,49724555170,1709684377,963272035,746412342,0,1709684377,0,13423383159138015,13423385217018874,2057880859,2057.880859,468089.31177293195,362709.21065989666,0.0,2200397,140825408,2057880,1001,155,285.0
cpu2026,737.gmsh_r,gmsh,maapFAST,1,3,1,1,1,0,0,refrate,,,README.txt|TieAnchor520.geo|Torus.geo|Torus_dense.geo|choi.geo|control|gasdis.geo|geom8du.geo|gmsh.opts|mediterranean.geo,1699539,48,512,16384,16,lru,pentium_m,,constant,2.2,090ac23cf7ee,sunnycove,1,65141465502,2172393355,1472776196,699617159,0,2172393355,0,13423385584398342,13423388162019875,2577621533,2577.621533,571370.2252812458,271419.65957498073,0.0,131759,8432576,2577621,1001,48,388.0
cpu2026,748.flightdm_r,flightdm,maapFAST,1,3,1,1,1,0,0,refrate,,,control,318,48,512,16384,16,lru,pentium_m,,constant,2.2,090ac23cf7ee,sunnycove,1,62919700790,2128414708,1452084195,676330513,0,2128414708,0,13423388528269487,13423391073312776,2545043289,2545.043289,570553.8295855682,265744.20793673187,0.0,50900,3257600,2545043,1001,32,375.0
cpu2026,749.fotonik3d_r,fotonik3d,maapFAST,1,3,1,1,1,0,0,refrate,,,OBJ-epsilon.asc|OBJ-values.dat|OBJ-values.dat.xz|PSI.dat|TEwaveguide.m|incident_W3PC.def|power1.dat|power2.dat|trans_W3PC.def|yee.dat,20685910,48,512,16384,16,lru,pentium_m,,constant,2.2,090ac23cf7ee,sunnycove,1,93289222417,3076726675,2359625160,717101515,0,3076726675,0,13423391437954574,13423395408766626,3970812052,3970.812052,594242.4695753391,180593.16472528927,0.0,28953414,1853018496,3970812,1001,1904,557.0
cpu2026,765.roms_r,roms,maapFAST,1,3,1,1,1,0,0,refrate,,,roms_benchmark2.in.x|varinfo.yaml,459072,48,512,16384,16,lru,pentium_m,,constant,2.2,090ac23cf7ee,sunnycove,1,44398348183,1480842454,1022154041,458688413,0,1480842454,0,13423395781128565,13423397634297704,1853169139,1853.169139,551570.8304702132,247515.67644144758,0.0,18029672,1153899008,1853169,1001,1263,264.0
