PatternConfig Name,Benchmark,Profiler,MemCellType,Cache Level,Design Target,Capacity,Word Width (bits),Optimization Target,Total Reads,Total Writes,Total Read Latency (ms),Total Write Latency (ms),Total Latency (ms),Total Read Energy (mJ),Total Write Energy (mJ),Total Energy (mJ),Total Dynamic Read Power (mW),Total Dynamic Write Power (mW),Total Power (mW),Read Bandwidth Usage (%),Write Bandwidth Usage (%),Cache Hit Latency (ns),Cache Miss Latency (ns),Cache Write Latency (ns),Cache Hit Energy (nJ),Cache Miss Energy (nJ),Cache Write Energy (nJ),Leakage Power (mW),Total Area (mm^2)
memsyspatternconfig_test_sniper,core_0,sniper,MRAM (Magnetoresistive),,cache,128KB,64,WriteEDP,1627,666,0.0075745937314568,0.0080775218745381,0.015652115605995,0.0001589366742165,3.329740214221912e-05,0.0001922340763587,5126.989490856066,1074.1097465231974,6203.14195747345,13161.064598387107,25103.062390028117,4.65555853193412,2.5501645735241105,12.128411223030303,0.0976869540359791,0.0976869540359791,0.0499960993126413,2.0427200941859227,0.137875756554196
memsyspatternconfig_test_sniper,core_0,sniper,MRAM (Magnetoresistive),,cache,256KB,64,WriteEDP,1627,666,0.0080914620701492,0.0083355296317717,0.0164269917019209,0.0001572711162309,3.351384674010741e-05,0.000190784962971,5073.26181390132,1081.0918303260455,6155.51679084936,21518.95320348049,25570.954392479096,4.973240362722343,2.7024918601853765,12.515810257915478,0.096663255212625,0.096663255212625,0.0503210912013624,1.1631466219951891,0.230868347417044
memsyspatternconfig_test_sniper,core_0,sniper,MRAM (Magnetoresistive),,cache,512KB,64,WriteEDP,1627,666,0.0090103190877676,0.009018551610057,0.0180288706978247,0.0001599014348142,3.516532736405405e-05,0.0001950667621782,5158.110800459404,1134.3653988404533,6294.491797721109,41161.3431063544,27674.513191933584,5.537995751547437,2.705160980862095,13.541368783869508,0.0982799230573088,0.0982799230573088,0.052800791837919,2.015598421251119,0.4479991788288421
memsyspatternconfig_test_sniper,core_0,sniper,MRAM (Magnetoresistive),,cache,1MB,64,WriteEDP,1627,666,0.0182355739368144,0.0107315182800799,0.0289670922168944,0.0001666133962377,3.743728993817345e-05,0.0002040506861758,5374.625685087884,1207.6545141346276,6586.038604973706,41217.3006335712,33124.05790649167,11.208097072412071,2.7106667846292964,16.113390810930916,0.1024052834896892,0.1024052834896892,0.0562121470543145,3.7584057511940503,0.861329951795729
memsyspatternconfig_test_sniper,core_0,sniper,MRAM (Magnetoresistive),,cache,2MB,64,WriteEDP,1627,666,0.0212347590706919,0.0130438178835293,0.0342785769542213,0.0001748976135023,4.098414299454196e-05,0.0002158817564969,5641.858500076471,1322.0691288561925,6967.729232330713,91239.59130149412,40276.5532012815,13.05148068266256,2.887152596969901,19.58531213743143,0.1074969966210022,0.1074969966210022,0.061537752244057,3.80160339804984,1.6479055711767476
memsyspatternconfig_test_sniper,core_0,sniper,MRAM (Magnetoresistive),,cache,4MB,64,WriteEDP,1627,666,0.0556627333730047,0.0194184417688862,0.0750811751418909,0.000193826065957,4.587605281798309e-05,0.0002397021187749,6252.453740548399,1479.8726715478415,7739.512461272022,91337.9011501595,60661.29010974,34.21188283528257,2.9647511598059566,29.15681947280216,0.1191309563349725,0.1191309563349725,0.0688829621891638,7.186049175781639,3.209718168321592
memsyspatternconfig_test_sniper,core_0,sniper,RRAM (Memristor),,cache,128KB,64,WriteEDP,1627,666,0.0045070874190468,0.0142059921226409,0.0187130795416878,0.0001475407703944,3.034528388340304e-05,0.0001778860542778,4759.379690143712,978.8801252710656,5742.367684070889,8399.754412524278,45117.997532459136,2.770182802118533,2.036592974128945,21.3303185024639,0.0906827107525845,0.0906827107525845,0.0455634893144189,4.107868656111647,0.1466630452693598
memsyspatternconfig_test_sniper,core_0,sniper,RRAM (Memristor),,cache,256KB,64,WriteEDP,1627,666,0.0053655675350743,0.0144066092602216,0.019772176795296,0.00015436412159,3.3744378280886386e-05,0.0001881084998709,4979.487793228994,1088.5283316414964,6072.154642796804,10667.2360943501,45763.30178725214,3.29782884761794,2.1096134616316773,21.63154543576825,0.0948765344745536,0.0948765344745536,0.0506672346559855,4.138517926313903,0.1761000634156181
memsyspatternconfig_test_sniper,core_0,sniper,RRAM (Memristor),,cache,512KB,64,WriteEDP,1627,666,0.0054075745575234,0.01441520688682,0.0198227814443434,0.0001675732475469,3.915143291349527e-05,0.0002067246804604,5405.588630546375,1262.949448822428,6676.815115221431,10667.2360943501,45763.30178725214,3.323647546111496,2.1510168131841496,21.644454785015025,0.1029952351241165,0.1029952351241165,0.0587859353055484,8.277035852627806,0.3522001268312362
memsyspatternconfig_test_sniper,core_0,sniper,RRAM (Memristor),,cache,1MB,64,WriteEDP,1627,666,0.0054476706438444,0.0144234133998777,0.0198710840437221,0.0001810226745031,4.4656852921395655e-05,0.0002256795274245,5839.441113005636,1440.5436426256665,7296.534659677038,10667.2360943501,45763.30178725214,3.3482917294680004,2.168766363805822,21.656776876693275,0.1112616315323753,0.1112616315323753,0.0670523317138072,16.549904045735612,0.6993644674224725
