PatternConfig Name,Benchmark,Profiler,MemCellType,Design Target,Capacity,Word Width (bits),Optimization Target,Total Reads,Total Writes,Execution Time (us),Read Latency (ns),Write Latency (ns),Read Energy (nJ),Write Energy (nJ),Leakage Power (mW),Total Area (mm^2),Total Read Latency (ms),Total Write Latency (ms),Total Latency (ms),Total Read Energy (mJ),Total Write Energy (mJ),Total Energy (mJ),Total Dynamic Read Power (mW),Total Dynamic Write Power (mW),Total Power (mW),Read Bandwidth Usage (%),Write Bandwidth Usage (%)
drio_spec2017,spec2017_fprate_alberta_both/blender/both,dynamorio,SRAM,RAM,64KB,128,ReadDynamicEnergy,2367073777,1082079646,1403900703.0,2.2238696741444364,2.2238696741444364,5.279678585157638,2.674513966798444,0.1469728772485896,0.086892951269666,5264.06358913283,2406.4041097483478,7670.467698881177,12.497388729915109,2.894037126415316,15.391425856330423,0.0089019036055822,0.0020614257975874,0.1579362066517592,0.5396009683234725,0.1208641708842105
drio_spec2017,spec2017_fprate_alberta_both/blender/both,dynamorio,SRAM,RAM,64KB,128,ReadEDP,2367073777,1082079646,1403900703.0,1.6693819062071775,1.6674542725583104,6.476621191826688,4.765423775680059,0.6102763629951645,0.0979796771709934,3951.550133981284,1804.318328971084,5755.868462952367,15.330640186735437,5.156568072227861,20.4872082589633,0.0109200317045039,0.0036730290548389,0.6248694237545075,0.1036622214218778,0.0965968476651487
drio_spec2017,spec2017_fprate_alberta_both/blender/both,dynamorio,SRAM,RAM,64KB,128,ReadLatency,2367073777,1082079646,1403900703.0,0.5168522662602015,0.4407914073811864,42.98490398974708,42.66471533269805,17.199449981817317,0.6671827892497416,1223.427446047545,476.971410058876,1700.398856106421,101.748439040993,46.16662006389667,147.91505910488968,0.072475523962319,0.0328845337602888,17.304810039539923,0.008267837796809,0.0221918158619181
drio_spec2017,spec2017_fprate_alberta_both/blender/both,dynamorio,SRAM,RAM,64KB,128,WriteDynamicEnergy,2367073777,1082079646,1403900703.0,2.166644885795205,2.166644885795205,6.1574398365821,1.8107090013391547,0.2099685220672975,0.0875272852534335,5128.608293236989,2344.4823310289858,7473.090624265975,14.575114370628652,1.959331355178086,16.534445725806737,0.0103818698427054,0.0013956338585707,0.2217460257685737,0.2895619441476842,0.1214831330194037
drio_spec2017,spec2017_fprate_alberta_both/blender/both,dynamorio,SRAM,RAM,64KB,128,WriteEDP,2367073777,1082079646,1403900703.0,2.166644885795205,2.166644885795205,6.1574398365821,1.8107090013391547,0.2099685220672975,0.0875272852534335,5128.608293236989,2344.4823310289858,7473.090624265975,14.575114370628652,1.959331355178086,16.534445725806737,0.0103818698427054,0.0013956338585707,0.2217460257685737,0.2895619441476842,0.1214831330194037
drio_spec2017,spec2017_fprate_alberta_both/blender/both,dynamorio,SRAM,RAM,64KB,128,WriteLatency,2367073777,1082079646,1403900703.0,0.5319844447199253,0.4002848094531753,54.986507194290816,54.34092242634163,34.32179095756718,1.2830822055034372,1259.2464288684414,433.1400449122694,1692.3864737807107,130.15711926842764,58.80120610240921,188.9583253708369,0.0927110578335736,0.0418841631582324,34.456386178558986,0.0078043461245573,0.0202533931676239
drio_spec2017,spec2017_fprate_alberta_both/blender/both,dynamorio,SRAM,RAM,128KB,128,ReadDynamicEnergy,2367073777,1082079646,1403900703.0,3.182731521353704,3.180884371198,8.881897019935337,5.3192020090515415,1.21721555386958,0.1884811160899623,7533.760323427668,3441.9702343528647,10975.730557780533,21.024105525903384,5.755800226956981,26.779905752860365,0.0149754932674204,0.0040998627713893,1.23629090990839,0.1431671482755371,0.208653928536304
drio_spec2017,spec2017_fprate_alberta_both/blender/both,dynamorio,SRAM,RAM,128KB,128,ReadEDP,2367073777,1082079646,1403900703.0,0.8545609923357754,0.830878748598166,21.905694996924392,21.58550633987536,1.2412425666849114,0.2329896749573948,2022.808915805112,899.0769821520265,2921.8858979571382,51.85239619417983,23.35723705898308,75.2096332531629,0.0369345182913408,0.0166373853998868,1.2948144703761393,0.0704877135070856,0.0382038430288891
drio_spec2017,spec2017_fprate_alberta_both/blender/both,dynamorio,SRAM,RAM,128KB,128,ReadLatency,2367073777,1082079646,1403900703.0,0.6396285627613837,0.5021795556317775,60.53943430877662,60.2192456517276,34.39889996363463,1.3343655784994832,1514.04799793267,543.3982757864711,2057.446273719141,143.30130742671923,65.16202001720845,208.46332744392768,0.1020736773765396,0.0464149778385063,34.54738861884968,0.008267837796809,0.0221918158619181
drio_spec2017,spec2017_fprate_alberta_both/blender/both,dynamorio,SRAM,RAM,128KB,128,WriteDynamicEnergy,2367073777,1082079646,1403900703.0,3.780509202679189,3.780509202679189,12.096859694825326,2.3989915027477355,0.4168360628228191,0.1710276474116284,8948.744197369086,4090.8120597348384,13039.556257103925,28.63415936766925,2.5958998760502774,31.23005924371953,0.0203961429084555,0.0018490623093948,0.4390812680406696,0.3478673793447979,0.2422476587074228
drio_spec2017,spec2017_fprate_alberta_both/blender/both,dynamorio,SRAM,RAM,128KB,128,WriteEDP,2367073777,1082079646,1403900703.0,2.708095770404115,2.708095770404115,10.38277521712938,2.916539601177267,0.2862521728084971,0.1700978248019194,6410.262483728193,2930.375312572982,9340.637796301176,24.57679494895244,3.155928139186878,27.73272308813932,0.0175060778133625,0.0022479710512595,0.3060062216731192,0.5581578045992662,0.1564467253722397
